"","gene_id","S00CWT11","S00D1D11","S00D2B11","S00D3911","S00D4711","S00D5511","S00XUN11"
"54853","ENSG00000273710.1",0,0,0,0,0,0,1
"54854","ENSG00000273711.1",1,2,3,1,0,0,0
"54855","ENSG00000273712.1",1,0,1,1,0,3,0
"54856","ENSG00000273717.1",0,0,0,0,0,0,0
"54857","ENSG00000273718.1",4.91,14.91,48.31,22.76,41.98,78.64,57.71
"54858","ENSG00000273719.1",0,0,0,0,0,0,0
"54859","ENSG00000273720.1",0,0,0,0,0,0,0
"54860","ENSG00000273721.1",0,0,0,0,0,0,0
"54861","ENSG00000273723.1",83,87,80,103,38,57,63
"54862","ENSG00000273724.1",1,0,0,3,1,8,8
"54863","ENSG00000273725.1",0,0,0,0,0,0,0
"54864","ENSG00000273727.1",18,184.97,268.12,218,56,62.94,37
"54865","ENSG00000273729.1",51,81,39,32,59,31,73
"54866","ENSG00000273731.1",0,0,0,0,0,0,0
"54867","ENSG00000273732.1",0,0,0,0,0,0,0
"54868","ENSG00000273733.1",3,1,3,7,1,2,2
"54869","ENSG00000273734.1",2.84,0,0,0,2.58,0,0
"54870","ENSG00000273736.1",0,0,0,0,0,0,0
"54871","ENSG00000273742.1",0,0,0,0,0,0,0
"54872","ENSG00000273743.1",0,0,0,0,0,0,0
"54873","ENSG00000273744.1",0,0,0,0,0,0,0
"54874","ENSG00000273745.1",0,0,0,0,0,0,0
"54875","ENSG00000273746.1",0,0,0,0,0,0,0
"54876","ENSG00000273747.1",19,3,4,9,6,11,18
"54877","ENSG00000273749.3",846,4904,2400,3434,6943,6326,7893
"54878","ENSG00000273750.1",0,0,0,0,0,0,0
"54879","ENSG00000273751.2",0,0,0,0,0,0,0
"54880","ENSG00000273754.1",0,0,0,0,0,0,0
"54881","ENSG00000273756.3",0,0,0,0,0,0,0
"54882","ENSG00000273758.1",0,0,0,0,0,0,0
"54883","ENSG00000273759.1",141,104,114,112,104,166,132
"54884","ENSG00000273760.1",0,0,0,0,0,0,0
"54885","ENSG00000273762.1",0,0,0,0,0,0,0
"54886","ENSG00000273763.1",1,0,0,0,0,0,1
"54887","ENSG00000273765.1",1,4,0,4,2,1,2
"54888","ENSG00000273767.1",0,0,0,0,0,0,0
"54889","ENSG00000273768.1",7579.24,9892.47,17780.92,13722.05,29748.44,33581.59,22038.93
"54890","ENSG00000273769.3",0,0,0,0,0,0,0
"54891","ENSG00000273771.1",0,0,0,0,0,0,0
"54892","ENSG00000273773.1",0,0,0,0,0,0,0
"54893","ENSG00000273774.1",0,0,0,0,0,0,0
"54894","ENSG00000273776.1",0,0,0,0,0,0,0
"54895","ENSG00000273777.3",0,0,1,0,0,0,0
"54896","ENSG00000273778.1",0,0,0,0,0,0,0
"54897","ENSG00000273781.1",0,0,0,0,0,0,0
"54898","ENSG00000273782.1",0,0,0,0,0,0,0
"54899","ENSG00000273783.1",24,32,35,30,23,49,42
"54900","ENSG00000273784.3",194.38,48.79,109.66,131.86,95.5,121.63,161.81
"54901","ENSG00000273786.1",3,1,4,7,2,0,0
"54902","ENSG00000273787.1",0,0,0,0,0,0,0
"54903","ENSG00000273788.1",0,0,0,0,0,0,0
"54904","ENSG00000273789.1",0,0,0,0,0,0,0
"54905","ENSG00000273790.2",0,0,0,0,0,0,0
"54906","ENSG00000273791.1",0,0,0,0,0,0,0
